e,E,s,k
kline,1703897032224,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189522, 'o': '2304.80', 'c': '2304.27', 'h': '2304.80', 'l': '2304.23', 'v': '320.628', 'n': 440, 'x': False, 'q': '738854.45898', 'V': '164.956', 'Q': '380111.76597', 'B': '0'}"
kline,1703897032287,BNBUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BNBUSDT', 'i': '1m', 'f': 1124029685, 'L': 1124030155, 'o': '313.980', 'c': '313.990', 'h': '314.160', 'l': '313.930', 'v': '686.87', 'n': 471, 'x': False, 'q': '215705.65450', 'V': '210.40', 'Q': '66078.21780', 'B': '0'}"
kline,1703897032381,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098226, 'o': '42181.40', 'c': '42175.60', 'h': '42181.40', 'l': '42171.70', 'v': '25.900', 'n': 430, 'x': False, 'q': '1092373.62100', 'V': '7.143', 'Q': '301258.16400', 'B': '0'}"
kline,1703897032617,BNBUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BNBUSDT', 'i': '1m', 'f': 1124029685, 'L': 1124030162, 'o': '313.980', 'c': '313.980', 'h': '314.160', 'l': '313.930', 'v': '690.01', 'n': 478, 'x': False, 'q': '216691.58080', 'V': '210.40', 'Q': '66078.21780', 'B': '0'}"
kline,1703897032678,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189525, 'o': '2304.80', 'c': '2304.27', 'h': '2304.80', 'l': '2304.23', 'v': '320.929', 'n': 443, 'x': False, 'q': '739548.04654', 'V': '165.185', 'Q': '380639.44609', 'B': '0'}"
kline,1703897033023,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098238, 'o': '42181.40', 'c': '42175.60', 'h': '42181.40', 'l': '42171.70', 'v': '27.156', 'n': 442, 'x': False, 'q': '1145346.17500', 'V': '7.147', 'Q': '301426.86680', 'B': '0'}"
kline,1703897033255,BNBUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BNBUSDT', 'i': '1m', 'f': 1124029685, 'L': 1124030170, 'o': '313.980', 'c': '313.940', 'h': '314.160', 'l': '313.930', 'v': '691.43', 'n': 486, 'x': False, 'q': '217137.40150', 'V': '211.31', 'Q': '66363.91230', 'B': '0'}"
kline,1703897033265,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189527, 'o': '2304.80', 'c': '2304.28', 'h': '2304.80', 'l': '2304.23', 'v': '321.405', 'n': 445, 'x': False, 'q': '740644.87948', 'V': '165.227', 'Q': '380736.22585', 'B': '0'}"
kline,1703897033662,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189528, 'o': '2304.80', 'c': '2304.27', 'h': '2304.80', 'l': '2304.23', 'v': '321.436', 'n': 446, 'x': False, 'q': '740716.31185', 'V': '165.227', 'Q': '380736.22585', 'B': '0'}"
kline,1703897034055,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189529, 'o': '2304.80', 'c': '2304.28', 'h': '2304.80', 'l': '2304.23', 'v': '321.446', 'n': 447, 'x': False, 'q': '740739.35465', 'V': '165.237', 'Q': '380759.26865', 'B': '0'}"
